Won,Lost,Errors,Shutouts
85,77,581,15
66,96,770,4
90,72,648,8
70,92,657,3
89,73,565,14
98,64,590,13
94,68,554,16
77,85,613,16
82,80,594,9
70,92,728,7
84,78,605,10
79,83,568,11
88,74,524,13
73,89,619,12
88,74,562,7
77,85,523,10
87,75,512,9
88,74,564,12
90,72,564,23
77,85,579,22
67,95,711,17
83,79,642,16
96,66,495,19
79,83,659,12
67,95,698,10
81,81,646,10
78,84,694,10
76,86,643,9
97,65,546,21
64,98,700,8
81,80,584,10
68,94,799,4
74,87,746,12
86,76,572,13
95,67,601,8
85,77,630,12
92,70,553,21
71,91,638,12
68,94,682,7
83,79,653,12
87,75,652,4
90,72,557,14
68,94,664,15
63,99,749,7
98,64,532,13
74,88,655,6
76,86,677,12
84,78,597,18
100,62,478,15
80,82,604,12
88,74,680,9
93,69,609,10
83,79,577,13
69,93,821,7
68,93,725,9
89,73,671,9
93,69,640,5
78,84,659,10
103,58,511,15
68,94,786,8
94,67,617,11
75,87,779,9
86,75,672,8
84,78,663,8
81,81,674,7
74,88,676,12
91,71,598,15
79,82,646,12
73,89,650,7
59,103,814,3
84,78,660,10
87,75,574,13
69,93,718,7
71,91,739,12
78,83,679,5
68,94,708,9
86,76,647,8
87,75,593,11
86,76,656,10
68,94,665,8
95,67,700,6
89,73,613,10
95,67,570,12
93,69,586,11
72,90,756,6
75,87,795,10
93,69,610,11
67,95,755,3
92,70,636,8
68,94,821,8
102,60,529,19
87,75,721,9
64,98,846,4
101,61,662,9
80,82,737,6
80,82,672,10
104,58,543,16
77,85,772,7
86,76,642,12
85,77,732,11
91,71,599,7
70,92,799,5
75,87,743,6
66,96,729,7
75,87,676,12
71,91,742,12
78,84,713,9
64,98,726,5
83,79,646,12
80,82,638,9
78,84,742,6
76,86,720,6
97,65,623,5
